2025-11-27 15:34:22 [main] INFO  com.orangehrm.utilities.LoggerManager - config.properties file loaded
2025-11-27 15:34:22 [main] TRACE com.orangehrm.utilities.LoggerManager - Trace message  
2025-11-27 15:34:22 [main] ERROR com.orangehrm.utilities.LoggerManager - this is error messaage
2025-11-27 15:34:22 [main] DEBUG com.orangehrm.utilities.LoggerManager - this is debug messaage
2025-11-27 15:34:22 [main] FATAL com.orangehrm.utilities.LoggerManager - this is fatal messaage
2025-11-27 15:34:22 [main] WARN  com.orangehrm.utilities.LoggerManager - this is a warn  messaage
2025-11-27 15:34:27 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - ChromeDriver instance is created 
2025-11-27 15:34:28 [TestNG-test-ornageHRMTest-2] INFO  com.orangehrm.utilities.LoggerManager - ChromeDriver instance is created 
2025-11-27 15:34:29 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - ChromeDriver instance is created 
2025-11-27 15:34:29 [TestNG-test-ornageHRMTest-1] INFO  com.orangehrm.utilities.LoggerManager - ChromeDriver instance is created 
2025-11-27 15:34:31 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - webDriver initialized and Browser Maximized
2025-11-27 15:34:31 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - webDriver instance is created 
2025-11-27 15:34:31 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - ActionDriver initilaized for thread:42
2025-11-27 15:34:32 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - entered text on:element with name:username Admin
2025-11-27 15:34:32 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - value eneterd:Admin
2025-11-27 15:34:32 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - entered text on:element with name:password admin123
2025-11-27 15:34:32 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - value eneterd:admin123
2025-11-27 15:34:33 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - clicked an element:element with text:Login
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - webDriver initialized and Browser Maximized
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - webDriver instance is created 
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - ActionDriver initilaized for thread:40
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-1] INFO  com.orangehrm.utilities.LoggerManager - webDriver initialized and Browser Maximized
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-1] INFO  com.orangehrm.utilities.LoggerManager - webDriver instance is created 
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-1] INFO  com.orangehrm.utilities.LoggerManager - ActionDriver initilaized for thread:38
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-2] INFO  com.orangehrm.utilities.LoggerManager - webDriver initialized and Browser Maximized
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-2] INFO  com.orangehrm.utilities.LoggerManager - webDriver instance is created 
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-2] INFO  com.orangehrm.utilities.LoggerManager - ActionDriver initilaized for thread:39
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - entered text on:element with name:username admin
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - value eneterd:admin
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - element is displayed:unable to describe the element
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-1] INFO  com.orangehrm.utilities.LoggerManager - webdriver instance is closed
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - entered text on:element with name:password xcvv
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - value eneterd:xcvv
2025-11-27 15:34:34 [TestNG-test-ornageHRMTest-2] INFO  com.orangehrm.utilities.LoggerManager - webdriver instance is closed
2025-11-27 15:34:35 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - ChromeDriver instance is created 
2025-11-27 15:34:36 [TestNG-test-ornageHRMTest-5] INFO  com.orangehrm.utilities.LoggerManager - webdriver instance is closed
2025-11-27 15:34:36 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - clicked an element:element with text:Login
2025-11-27 15:34:40 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - webDriver initialized and Browser Maximized
2025-11-27 15:34:40 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - webDriver instance is created 
2025-11-27 15:34:40 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - ActionDriver initilaized for thread:41
2025-11-27 15:34:40 [TestNG-test-ornageHRMTest-3] INFO  com.orangehrm.utilities.LoggerManager - webdriver instance is closed
2025-11-27 15:34:40 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - entered text on:element with name:username Admin
2025-11-27 15:34:40 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - value eneterd:Admin
2025-11-27 15:34:40 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - entered text on:element with name:password admin123
2025-11-27 15:34:40 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - value eneterd:admin123
2025-11-27 15:34:40 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - clicked an element:element with text:Login
2025-11-27 15:34:42 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - element is displayed:element with text:Admin
2025-11-27 15:34:42 [TestNG-test-ornageHRMTest-4] INFO  com.orangehrm.utilities.LoggerManager - clicked an element:element with text:Alice Dupont
